[23/Mar/2026:17:12:26 +0000] - 404 404 - GET http audio.middl.earth "//a1.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:26 +0000] - 404 404 - GET http audio.middl.earth "/update/f35.php" [Client 162.158.129.225] [Length 153] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:26 +0000] - 404 404 - GET http audio.middl.earth "/wp-includes/Text/Diff/Engine/about.php" [Client 162.158.129.225] [Length 166] [Gzip 1.14] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:26 +0000] - 404 404 - GET http audio.middl.earth "/f35.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:27 +0000] - 404 404 - GET http audio.middl.earth "//wp-includes/css/index.php?p=" [Client 162.158.129.225] [Length 158] [Gzip 1.12] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:27 +0000] - 404 404 - GET http audio.middl.earth "/wp-includes/SimplePie/" [Client 162.158.129.225] [Length 157] [Gzip 1.10] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:27 +0000] - 404 404 - GET http audio.middl.earth "/prv8.php" [Client 162.158.129.225] [Length 146] [Gzip 1.09] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:28 +0000] - 404 404 - GET http audio.middl.earth "/k.php" [Client 162.158.129.225] [Length 144] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:28 +0000] - 404 404 - GET http audio.middl.earth "/dev.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:28 +0000] - 404 404 - GET http audio.middl.earth "/bal.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:28 +0000] - 404 404 - GET http audio.middl.earth "/in.php" [Client 162.158.129.225] [Length 146] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:28 +0000] - 404 404 - GET http audio.middl.earth "/gssdd.php" [Client 162.158.129.225] [Length 148] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:28 +0000] - 404 404 - GET http audio.middl.earth "/motu.php" [Client 162.158.129.225] [Length 147] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:29 +0000] - 404 404 - GET http audio.middl.earth "/bs1.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:29 +0000] - 404 404 - GET http audio.middl.earth "/bengi.php" [Client 162.158.129.225] [Length 148] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:29 +0000] - 404 404 - GET http audio.middl.earth "/wp-content/plugins/pwnd/as.php" [Client 162.158.129.225] [Length 160] [Gzip 1.13] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:29 +0000] - 404 404 - GET http audio.middl.earth "/axx.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:29 +0000] - 404 404 - GET http audio.middl.earth "/alfashell.php" [Client 162.158.129.225] [Length 150] [Gzip 1.09] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:30 +0000] - 404 404 - GET http audio.middl.earth "/fm.php?p=" [Client 162.158.129.225] [Length 146] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:30 +0000] - 404 404 - GET http audio.middl.earth "/flower.php" [Client 162.158.129.225] [Length 149] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:30 +0000] - 404 404 - GET http audio.middl.earth "/gettest.php" [Client 162.158.129.225] [Length 149] [Gzip 1.09] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:30 +0000] - 404 404 - GET http audio.middl.earth "/acp.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:30 +0000] - 404 404 - GET http audio.middl.earth "/sdm.php" [Client 162.158.129.225] [Length 146] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:31 +0000] - 404 404 - GET http audio.middl.earth "/file52.php" [Client 162.158.129.225] [Length 150] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:31 +0000] - 404 404 - GET http audio.middl.earth "/file48.php" [Client 162.158.129.225] [Length 150] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:31 +0000] - 404 404 - GET http audio.middl.earth "/s.php" [Client 162.158.129.225] [Length 144] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
